"Gene_ID","s1C104_Pre","s1C110_Pre","s1C125_Pre","s1C113_Pre","s1C114_Pre"
"CDH24",141,38,70,90,31
"WFDC21P",6,6,4,2,0
"MIR221",0,0,2,10,10
"POTEA",0,0,0,0,0
"A2M-AS1",2109,881,992,1091,470
"SEMA3E",0,0,0,0,0
"ENHO",17,32,3,0,0
"TMOD3",5128,5144,3935,5605,3934
"ADAM21P1",0,0,0,0,0
"EHHADH-AS1",0,0,0,0,0
"LINC00159",0,4,0,2,0
"LOC100506639",957,594,600,905,597
"WDR98",1768,1087,1246,1600,1195
"ATP5J",307,422,218,375,277
"KLHL34",21,42,41,24,16
"CPS1",54,18,29,18,10
"SIRT4",15,4,6,15,8
"MIR10A",0,0,0,0,0
"TMEM170B",611,772,546,289,134
"TFE3",1247,1065,943,1519,994
"LINC00900",0,8,0,0,0
"TPTE2",25,7,13,16,16
"LINC00658",0,0,0,0,0
"LINC01058",4,19,14,3,28
"HAO2",0,0,0,4,0
"TADA1",784,704,561,807,485
"TNFRSF19",34,7,11,12,2
"KYNU",105,264,174,21,6
"LUC7L3",9546,3477,8838,9847,4057
"OR1D2",0,0,0,0,0
"AARSD1",0,0,0,1,0
"LOC101928551",0,0,0,0,0
"PPP2R3C",939,703,726,984,809
"PMEPA1",82,146,111,192,128
"TMTC2",225,497,274,463,313
"A4GALT",0,0,0,0,0
"CXCL14",0,0,0,0,0
"LOC284578",0,0,0,0,0
"CAPS2",105,56,72,85,42
"RAMP2",0,0,0,0,0
"PRKCZ",648,502,417,753,596
"ST6GALNAC3",23,133,40,37,27
"STX1B",50,47,42,88,15
"LINC01873",0,0,6,0,0
"LOC100288842",197,275,211,118,177
"SNORD14E",178,19,53,73,100
"NSFL1C",1195,1456,1018,1344,1163
"MIR202HG",0,0,0,0,0
"ACADL",0,0,0,0,0
"IRX6",0,0,0,0,0
"MAP3K3",3662,3160,2959,4189,2520
"LINC02104",0,0,0,0,0
"FITM1",48,10,20,42,46
"FXYD6-FXYD2",0,0,0,0,0
"SAMD11",0,0,0,0,0
"KREMEN1",7,2,0,0,0
"MIR3691",1,0,6,5,10
"NBPF3",271,290,487,446,200
"HCFC1-AS1",11,13,9,17,3
"OR52A1",0,0,0,0,0
"ZBED9",0,12,7,2,12
"MYPN",0,0,0,0,0
"HMG20B",767,427,479,675,545
"STON2",211,1086,1341,41,202
"LOC102606465",256,179,306,476,274
"THUMPD3-AS1",995,664,712,1013,729
"CFC1",0,0,0,0,0
"CD276",0,1,0,0,0
"HSFX3",0,0,0,0,0
"MIR603",0,0,0,0,0
"TAP2",9084,3600,5039,7521,5731
"RAD21L1",7,7,4,5,14
"PRSS53",156,47,151,152,160
"ZC3H18-AS1",6,3,12,4,0
"ARHGEF7",3981,2937,3042,4543,3458
"SPINK14",0,0,0,0,0
"MIR3973",0,0,0,0,0
"MIR1255A",20,17,7,9,8
"LINCR-0003",0,0,0,0,0
"CASP1P2",110,96,155,70,73
"ALOX12P2",42,5,49,14,17
